,index,Super Group Code,Group Code,Client code,Transaction Currency,Transaction Base Currency,Transaction Currency Classification,Category,Commodity Code,Market Code,Exchange,Exchange Instrument Code,Delivery Month,Trade Date,Description,Instrument Currency,Bought Price,Sold Price,Settlement Amount,Effective Date,Input Date,Bought Quantity,Sold  Quantity,Future/Option,Exercise Date,Exercise Price,Put/Call,FX Bought/Sold,FX Amount,FX Currency,FX Base Currency,FX Currency Classification,Executing Broker Code,Bought or Sold,ASX code,Instrument Type,Journal GST amount,Sub Category,Bought Side Trade Date,Sold Side Trade Date,GCS Journal Type,Trading Venue,Bought Side Client Deal Id,Sold Side Client Deal Id,Portfolio Code,Pending Delivery Contract Flag,Delivery Date,Contract Reference No,Bought Side Reference No.,Sold Side Refernece No.,Exercise Style,Tick Value,Tick Size,Contract Size,Clearing Commission Amount,Clearing Commission GST Amount,Clearing Commission Currency,Clearing Commission Base Currency,Clearing Commission Currency Classification,Executing Commission Amount,Executing Commission GST Amount,Executing Commission Currency,Executing Commission Base Currency,Executing Commission Currency Classification,Exchange Fee Amount,Exchange Fee GST Amount,Exchange Fee Currency,Exchange Fee Base Currency,Exchange Fee Currency Classification,Pit Brokerage Amount,Pit Brokerage GST Amount,Pit Brokerage Currency,Pit Brokerage Base Currency,Pit Brokerage Currency Classification,Badge Id,EFP GST Amount,EFP Amount,Commodity Name,Market Name,Account Name,Group Name,Super Group Name,Market Zone Code
10,10,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 13/01/23          ,                                                  ,                     ,                     ,1322.19,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99710100,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
11,11,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 16/01/23          ,                                                  ,                     ,                     ,-237.06,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99720259,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
12,12,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 17/01/23          ,                                                  ,                     ,                     ,835.31,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99733989,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
13,13,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 18/01/23          ,                                                  ,                     ,                     ,788.62,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99745930,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
14,14,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 19/01/23          ,                                                  ,                     ,                     ,806.47,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99756502,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
15,15,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 20/01/23          ,                                                  ,                     ,                     ,2366.66,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99771499,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
16,16,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 23/01/23          ,                                                  ,                     ,                     ,725.50,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99785566,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
17,17,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 24/01/23          ,                                                  ,                     ,                     ,631.57,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99798616,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
18,18,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 25/01/23          ,                                                  ,                     ,                     ,641.78,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99809127,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
19,19,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 26/01/23          ,                                                  ,                     ,                     ,682.59,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99816568,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
20,20,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 27/01/23          ,                                                  ,                     ,                     ,1349.16,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99828878,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
21,21,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 30/01/23          ,                                                  ,                     ,                     ,427.47,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99844434,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
22,22,BIOURJA ,5231143R,52311430,USD,USD,Segregated,Q,    ,   ,   ,               ,     ,        ,GROUP INTEREST FOR 5231143R FOR 31/01/23          ,                                                  ,                     ,                     ,484.26,01/02/23,01/02/23,     ,     , ,        ,          , ,      ,              ,   ,   ,                    ,MBL  , ,      ,U,              ,I,        ,        ,I,  ,                     ,                     , , ,        ,99855649,          ,          , ,              ,              ,              ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,                     ,                     ,   ,   ,                    ,          ,               ,               ,                                                                       ,                                   ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,BIOURJA TRADING LLC                ,        
